datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name,square_diagonal,query_count,query_long,query_lat,dist_from_center,p_name
1,472.7,METERS,GHCND_USW00014941,41.9855,-97.4352,10/16/2018,10/1/1945,"NORFOLK KARL STEFAN MEMORIAL AIRPORT, NE US",2.567836929,15,-98.11013231,41.93217061,0.677035931,Prairie Breeze
0.9936,930.9,METERS,GHCND_USW00003024,35.695,-101.395,10/16/2018,6/1/1997,"BORGER HUTCHINSON CO AIRPORT, TX US",3.697685178,17,-101.2931729,35.43090879,0.283042266,Panhandle Wind 1
0.9952,894.9,METERS,GHCND_USC00418040,35.7048,-101.5492,10/17/2018,10/1/1993,"SANFORD DAM, TX US",3.697685178,17,-101.2931729,35.43090879,0.374921679,Panhandle Wind 1
0.9492,1098.5,METERS,GHCND_USW00023047,35.2295,-101.7042,10/16/2018,3/1/1943,"AMARILLO AIRPORT, TX US",3.697685178,17,-101.2931729,35.43090879,0.457721273,Panhandle Wind 1
0.9902,330.7,METERS,GHCND_USC00341750,35.0488,-97.9158,10/15/2018,6/1/1953,"CHICKASHA EXPERIMENT STATION, OK US",2.567836929,15,-97.80480764,34.70015097,0.365889945,Rush Springs Wind Energy Center
0.9914,325.8,METERS,GHCND_USW00003950,34.5584,-98.4172,10/16/2018,10/1/1996,"LAWTON MUNICIPAL AIRPORT, OK US",2.567836929,15,-97.80480764,34.70015097,0.628583914,Rush Springs Wind Energy Center
0.9213,391.7,METERS,GHCND_USW00013967,35.3889,-97.6006,10/16/2018,12/14/1941,"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US",2.567836929,15,-97.80480764,34.70015097,0.718384293,Rush Springs Wind Energy Center
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,10/17/2018,1896-10-01,"ANTHONY, KS US",2.567836929,15,-98.23042013,37.35392928,0.28366501,Flat Ridge 2 Expansion
0.9843,467.9,METERS,GHCND_USW00003957,37.2839,-98.5528,10/16/2018,2/5/1998,"MEDICINE LODGE 1 E, KS US",2.567836929,15,-98.23042013,37.35392928,0.329898293,Flat Ridge 2 Expansion
0.9526,365.8,METERS,GHCND_USC00343740,36.7425,-98.133,9/10/2018,3/12/1946,"GREAT SALT PLAINS DAM, OK US",2.567836929,15,-98.23042013,37.35392928,0.619141702,Flat Ridge 2 Expansion
0.9526,365.8,METERS,GHCND_USC00343740,36.7425,-98.133,9/10/2018,3/12/1946,"GREAT SALT PLAINS DAM, OK US",1.78322009,13,-97.69635806,36.57560831,0.467449488,Chisholm View
0.9995,304.8,METERS,GHCND_USW00013969,36.73667,-97.10194,10/16/2018,1/1/1948,"PONCA CITY MUNICIPAL AIRPORT, OK US",1.78322009,13,-97.69635806,36.57560831,0.615852008,Chisholm View
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,10/17/2018,1896-10-01,"ANTHONY, KS US",1.78322009,13,-97.69635806,36.57560831,0.6676929,Chisholm View
0.9843,467.9,METERS,GHCND_USW00003957,37.2839,-98.5528,10/16/2018,2/5/1998,"MEDICINE LODGE 1 E, KS US",2.567836929,15,-98.27077297,37.55616445,0.392004054,Kingman Wind Energy Center
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,10/17/2018,1896-10-01,"ANTHONY, KS US",2.567836929,15,-98.27077297,37.55616445,0.468801195,Kingman Wind Energy Center
0.4685,470.3,METERS,GHCND_USW00013986,38.06528,-97.86056,10/15/2018,1/1/1948,"HUTCHINSON MUNICIPAL AIRPORT, KS US",2.567836929,15,-98.27077297,37.55616445,0.653814439,Kingman Wind Energy Center
0.9252,765,METERS,GHCND_USW00023041,32.2443,-101.4537,10/17/2018,1/1/1948,"BIG SPRING, TX US",3.697685178,17,-100.9331986,31.9408203,0.602512747,Capricorn Ridge
0.8222,598.6,METERS,GHCND_USC00416499,31.45389,-100.49333,1/31/2008,12/1/1975,"O C FISHER DAM, TX US",3.697685178,17,-100.9331986,31.9408203,0.656190158,Capricorn Ridge
0.2272,576.1,METERS,GHCND_USC00417944,31.37083,-100.49432,10/17/2018,11/1/1947,"SAN ANGELO WEATHER FORECAST OFFICE, TX US",3.697685178,17,-100.9331986,31.9408203,0.719377083,Capricorn Ridge
0.8793,786.4,METERS,GHCND_USW00024012,46.7994,-102.7972,10/16/2018,11/14/1938,"DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT, ND US",3.081404315,16,-102.7963987,46.60255038,0.196851253,Brady Wind II
0.9498,749.8,METERS,GHCND_USC00322188,46.89138,-102.81055,2/19/2016,1893-01-01,"DICKINSON EXPERIMENTAL STATION, ND US",3.081404315,16,-102.7963987,46.60255038,0.289176087,Brady Wind II
0.995,824.5,METERS,GHCND_USW00094038,46.01389,-102.65472,10/16/2018,7/1/1996,"HETTINGER MUNICIPAL AIRPORT, ND US",3.081404315,16,-102.7963987,46.60255038,0.605469983,Brady Wind II
0.9667,1638,METERS,GHCND_USW00093010,39.275,-103.666,10/16/2018,8/1/1948,"LIMON, CO US",2.567836929,15,-103.641999,39.39627013,0.123622369,Limon I
0.293,1531.6,METERS,GHCND_USC00054172,39.1438,-103.4897,10/17/2018,1893-01-01,"HUGO 1 NW, CO US",2.567836929,15,-103.641999,39.39627013,0.294849391,Limon I
0.9996,1333.2,METERS,GHCND_USC00059213,40.075,-103.5677,10/17/2018,6/1/1993,"WOODROW 6 NNE, CO US",2.567836929,15,-103.641999,39.39627013,0.682784436,Limon I
0.9743,266.1,METERS,GHCND_USC00112223,41.9342,-88.7756,10/17/2018,3/1/1966,"DE KALB, IL US",2.139864108,14,-88.88534052,41.81195997,0.16427297,Lee&DeKalb
0.9985,216.4,METERS,GHCND_USW00004808,41.77,-88.48139,10/15/2018,10/8/1998,"CHICAGO AURORA MUNICIPAL AIRPORT, IL US",2.139864108,14,-88.88534052,41.81195997,0.406123952,Lee&DeKalb
1,222.5,METERS,GHCND_USW00094822,42.1927,-89.093,10/16/2018,1/1/1951,"ROCKFORD GREATER ROCKFORD AIRPORT, IL US",2.139864108,14,-88.88534052,41.81195997,0.433688173,Lee&DeKalb
0.8602,503.2,METERS,GHCND_USW00024011,46.7825,-100.7572,10/16/2018,7/1/1936,"BISMARCK MUNICIPAL AIRPORT, ND US",2.567836929,15,-100.6676132,47.11941224,0.34861963,Wilton Wind Energy Center II
0.9915,533.4,METERS,GHCND_USC00325479,46.8127,-100.9097,9/4/2018,7/16/1913,"MANDAN EXPERIMENT STATION, ND US",2.567836929,15,-100.6676132,47.11941224,0.390740832,Wilton Wind Energy Center II
0.9203,577,METERS,GHCND_USC00328840,47.5213,-100.8883,10/7/2018,9/1/1912,"TURTLE LAKE, ND US",2.567836929,15,-100.6676132,47.11941224,0.458493635,Wilton Wind Energy Center II
0.995,205.7,METERS,GHCND_USC00116344,40.1101,-87.9567,10/17/2018,11/1/2001,"OGDEN, IL US",2.139864108,14,-87.8937719,40.21892957,0.125713252,California Ridge
0.7581,230.1,METERS,GHCND_USW00014806,40.313,-88.1598,10/15/2018,1893-01-01,"RANTOUL, IL US",2.139864108,14,-87.8937719,40.21892957,0.282170504,California Ridge
0.9988,219.8,METERS,GHCND_USC00118740,40.084,-88.2404,10/17/2018,8/1/1902,"CHAMPAIGN 3 S, IL US",2.139864108,14,-87.8937719,40.21892957,0.371963745,California Ridge
0.9936,930.9,METERS,GHCND_USW00003024,35.695,-101.395,10/16/2018,6/1/1997,"BORGER HUTCHINSON CO AIRPORT, TX US",3.081404315,16,-100.5386812,35.65375535,0.857311489,Miami
0.6758,667.8,METERS,GHCND_USW00013975,36.2967,-99.7689,10/16/2018,5/1/1904,"GAGE AIRPORT, OK US",3.081404315,16,-100.5386812,35.65375535,1.002966072,Miami
0.9952,894.9,METERS,GHCND_USC00418040,35.7048,-101.5492,10/17/2018,10/1/1993,"SANFORD DAM, TX US",3.081404315,16,-100.5386812,35.65375535,1.011807184,Miami
0.5464,585.8,METERS,GHCND_USW00003932,35.3568,-99.2042,10/16/2018,8/17/1958,"CLINTON SHERMAN AIRPORT, OK US",3.081404315,16,-99.68286155,35.47865635,0.493928988,Elk City II
0.9498,464.8,METERS,GHCND_USC00340184,34.8847,-99.2964,10/17/2018,8/1/1945,"ALTUS DAM, OK US",3.081404315,16,-99.68286155,35.47865635,0.708616024,Elk City II
0.995,474.3,METERS,GHCND_USW00093986,34.9894,-99.0525,10/16/2018,1/1/1910,"HOBART MUNICIPAL AIRPORT, OK US",3.081404315,16,-99.68286155,35.47865635,0.797952036,Elk City II
0.996,951.9,METERS,GHCND_USW00003030,36.68167,-101.50528,10/16/2018,12/1/1998,"GUYMON MUNICIPAL AIRPORT, OK US",3.081404315,16,-100.8437824,36.51791281,0.681465704,Balko Wind
0.8825,999.1,METERS,GHCND_USC00343628,36.5913,-101.618,10/14/2018,2/15/1910,"GOODWELL RESEARCH STATION, OK US",3.081404315,16,-100.8437824,36.51791281,0.777687976,Balko Wind
0.9936,930.9,METERS,GHCND_USW00003024,35.695,-101.395,10/16/2018,6/1/1997,"BORGER HUTCHINSON CO AIRPORT, TX US",3.081404315,16,-100.8437824,36.51791281,0.990467746,Balko Wind
0.293,1531.6,METERS,GHCND_USC00054172,39.1438,-103.4897,10/17/2018,1893-01-01,"HUGO 1 NW, CO US",2.567836929,15,-103.3962753,39.35438931,0.230382364,Limon III
0.9667,1638,METERS,GHCND_USW00093010,39.275,-103.666,10/16/2018,8/1/1948,"LIMON, CO US",2.567836929,15,-103.3962753,39.35438931,0.281165586,Limon III
0.9996,1333.2,METERS,GHCND_USC00059213,40.075,-103.5677,10/17/2018,6/1/1993,"WOODROW 6 NNE, CO US",2.567836929,15,-103.3962753,39.35438931,0.740720061,Limon III
0.8421,275.5,METERS,GHCND_USC00237862,39.3903,-94.5553,10/17/2018,11/1/1981,"SMITHVILLE LAKE, MO US",2.139864108,14,-94.45409846,39.83376456,0.454865438,Osborn
0.667,249.3,METERS,GHCND_USW00013993,39.7736,-94.9233,10/16/2018,1/1/1948,"ST JOSEPH ROSECRANS MEMORIAL AIRPORT, MO US",2.139864108,14,-94.45409846,39.83376456,0.473043189,Osborn
1,306.3,METERS,GHCND_USW00003947,39.2972,-94.7306,10/16/2018,10/1/1972,"KANSAS CITY INTERNATIONAL AIRPORT, MO US",2.139864108,14,-94.45409846,39.83376456,0.603617948,Osborn
0.9867,460.9,METERS,GHCND_USC00148946,38.9667,-98.489,10/17/2018,8/1/1964,"WILSON LAKE, KS US",2.139864108,14,-98.33307847,38.84524076,0.19764582,Post Rock
0.8924,454.8,METERS,GHCND_USC00144178,38.6078,-97.9596,10/17/2018,3/1/1941,"KANOPOLIS LAKE, KS US",2.139864108,14,-98.33307847,38.84524076,0.442565569,Post Rock
0.9887,568.1,METERS,GHCND_USW00093997,38.87611,-98.80917,10/15/2018,9/1/1949,"RUSSELL MUNICIPAL AIRPORT, KS US",2.139864108,14,-98.33307847,38.84524076,0.477091244,Post Rock
0.9936,930.9,METERS,GHCND_USW00003024,35.695,-101.395,10/16/2018,6/1/1997,"BORGER HUTCHINSON CO AIRPORT, TX US",4.437222213,18,-101.1939246,35.25837464,0.480700545,Grandview I
0.9492,1098.5,METERS,GHCND_USW00023047,35.2295,-101.7042,10/16/2018,3/1/1943,"AMARILLO AIRPORT, TX US",4.437222213,18,-101.1939246,35.25837464,0.511091675,Grandview I
0.9952,894.9,METERS,GHCND_USC00418040,35.7048,-101.5492,10/17/2018,10/1/1993,"SANFORD DAM, TX US",4.437222213,18,-101.1939246,35.25837464,0.570540267,Grandview I
0.9285,484.6,METERS,GHCND_USC00341445,36.06167,-98.59,8/31/2002,5/6/1943,"CANTON, OK US",2.567836929,15,-98.99346985,36.10693736,0.406001302,Seiling
0.9749,618.7,METERS,GHCND_USC00343304,36.54417,-99.535,3/31/2012,7/1/1940,"FORT SUPPLY, OK US",2.567836929,15,-98.99346985,36.10693736,0.696008104,Seiling
0.5464,585.8,METERS,GHCND_USW00003932,35.3568,-99.2042,10/16/2018,8/17/1958,"CLINTON SHERMAN AIRPORT, OK US",2.567836929,15,-98.99346985,36.10693736,0.779174725,Seiling
0.9989,201.2,METERS,GHCND_USW00014845,43.53306,-84.07972,10/16/2018,1898-01-01,"SAGINAW MBS INTERNATIONAL AIRPORT, MI US",2.567836929,15,-84.52403299,43.39106589,0.466450809,Gratiot County
0.8192,236.2,METERS,GHCND_USW00014828,43.9758,-84.4908,10/17/2018,1892-12-01,"GLADWIN, MI US",2.567836929,15,-84.52403299,43.39106589,0.585677737,Gratiot County
0.9327,261.8,METERS,GHCND_USW00014836,42.7761,-84.5997,10/16/2018,1/1/1948,"LANSING CAPITAL CITY AIRPORT, MI US",2.567836929,15,-84.52403299,43.39106589,0.619603536,Gratiot County
0.9862,1351.8,METERS,GHCND_USC00291963,34.5988,-103.2161,10/17/2018,6/21/1949,"CLOVIS 13 N, NM US",3.081404315,16,-102.7105074,34.71607396,0.519015495,Mariah North Wind
0.473,1165.9,METERS,GHCND_USC00299284,35.36,-103.4433,9/30/2015,2/1/1965,"UTE DAM, NM US",3.081404315,16,-102.7105074,34.71607396,0.975513085,Mariah North Wind
0.6399,1239,METERS,GHCND_USW00023048,35.18222,-103.60306,10/15/2018,1/1/1948,"TUCUMCARI MUNICIPAL AIRPORT, NM US",3.081404315,16,-102.7105074,34.71607396,1.00694703,Mariah North Wind
0.9937,368.8,METERS,GHCND_USC00131442,42.7572,-95.5377,10/17/2018,11/13/1921,"CHEROKEE, IA US",2.567836929,15,-95.41686616,42.31372874,0.459638529,Ida Grove
0.9907,426.7,METERS,GHCND_USC00131277,42.0633,-95.8363,1/16/2018,7/1/1948,"CASTANA EXPERIMENTAL FARM, IA US",2.567836929,15,-95.41686616,42.31372874,0.488507218,Ida Grove
0.9899,387.1,METERS,GHCND_USC00133632,41.6452,-95.3339,2/24/2016,1899-02-01,"HARLAN, IA US",2.567836929,15,-95.41686616,42.31372874,0.673657226,Ida Grove
0.9197,880.9,METERS,GHCND_USC00142980,37.993,-100.8121,10/17/2018,8/1/1948,"GARDEN CITY EXPERIMENTAL STATION, KS US",3.081404315,16,-101.0898387,37.63753567,0.451102709,Buffalo Dunes
0.9407,878.4,METERS,GHCND_USW00023064,37.92722,-100.72472,10/16/2018,3/1/1947,"GARDEN CITY REGIONAL AIRPORT, KS US",3.081404315,16,-101.0898387,37.63753567,0.466077944,Buffalo Dunes
0.996,951.9,METERS,GHCND_USW00003030,36.68167,-101.50528,10/16/2018,12/1/1998,"GUYMON MUNICIPAL AIRPORT, OK US",3.081404315,16,-101.0898387,37.63753567,1.042243104,Buffalo Dunes
0.9953,1277.7,METERS,GHCND_USW00003026,39.24472,-102.28417,10/16/2018,6/1/1997,"BURLINGTON CARSON AIRPORT, CO US",2.567836929,15,-102.1429173,39.36857623,0.187863508,Carousel
0.939,1132.9,METERS,GHCND_USC00050834,39.6567,-102.1193,7/9/2018,6/1/1949,"BONNY DAM 2 NE, CO US",2.567836929,15,-102.1429173,39.36857623,0.289090094,Carousel
0.897,1114.3,METERS,GHCND_USW00023065,39.36722,-101.69333,10/16/2018,1895-06-01,"GOODLAND RENNER FIELD, KS US",2.567836929,15,-102.1429173,39.36857623,0.449589321,Carousel
0.9843,467.9,METERS,GHCND_USW00003957,37.2839,-98.5528,10/16/2018,2/5/1998,"MEDICINE LODGE 1 E, KS US",3.081404315,16,-98.6099786,37.58753767,0.308974475,Ninnescah
0.9704,414.5,METERS,GHCND_USW00013980,37.155,-98.0282,10/17/2018,1896-10-01,"ANTHONY, KS US",3.081404315,16,-98.6099786,37.58753767,0.724951839,Ninnescah
0.4685,470.3,METERS,GHCND_USW00013986,38.06528,-97.86056,10/15/2018,1/1/1948,"HUTCHINSON MUNICIPAL AIRPORT, KS US",3.081404315,16,-98.6099786,37.58753767,0.888744038,Ninnescah
0.988,519.1,METERS,GHCND_USW00094943,43.76667,-99.31833,6/30/2014,2/1/1998,"CHAMBERLAIN MUNICIPAL AIRPORT, SD US",2.567836929,15,-98.76650551,43.89941205,0.56756561,Crow Lake (2010)
0.8893,445.3,METERS,GHCND_USC00394766,44.0644,-99.4602,10/2/2018,2/1/1972,"LAKE SHARPE PROJECT, SD US",2.567836929,15,-98.76650551,43.89941205,0.713044928,Crow Lake (2010)
0.9998,390.1,METERS,GHCND_USW00014936,44.3981,-98.2231,10/16/2018,1881-07-01,"HURON REGIONAL AIRPORT, SD US",2.567836929,15,-98.76650551,43.89941205,0.737549467,Crow Lake (2010)
0.9891,612.6,METERS,GHCND_USC00143527,38.8586,-99.3358,10/17/2018,1892-07-01,"HAYS 1 S, KS US",2.139864108,14,-99.45016818,38.99665911,0.179277431,Buckeye
0.9731,650.7,METERS,GHCND_USC00141383,38.7978,-99.723,10/17/2018,8/1/1949,"CEDAR BLUFF DAM, KS US",2.139864108,14,-99.45016818,38.99665911,0.337612422,Buckeye
0.9412,567.8,METERS,GHCND_USC00148648,39.4031,-99.4192,8/31/2018,9/1/1953,"WEBSTER DAM, KS US",2.139864108,14,-99.45016818,38.99665911,0.407618973,Buckeye
0.9899,387.1,METERS,GHCND_USC00133632,41.6452,-95.3339,2/24/2016,1899-02-01,"HARLAN, IA US",2.567836929,15,-95.14382198,42.13579298,0.526128431,Victory(Carroll)
0.9907,426.7,METERS,GHCND_USC00131277,42.0633,-95.8363,1/16/2018,7/1/1948,"CASTANA EXPERIMENTAL FARM, IA US",2.567836929,15,-95.14382198,42.13579298,0.696262191,Victory(Carroll)
0.9937,368.8,METERS,GHCND_USC00131442,42.7572,-95.5377,10/17/2018,11/13/1921,"CHEROKEE, IA US",2.567836929,15,-95.14382198,42.13579298,0.735721807,Victory(Carroll)
1,180.4,METERS,GHCND_USW00014923,41.46528,-90.52333,10/16/2018,5/24/1943,"MOLINE QUAD CITY INTERNATIONAL AIRPORT, IL US",2.567836929,15,-90.15054192,41.19727798,0.459125297,Bishop Hill I
0.9944,228.6,METERS,GHCND_USW00094982,41.61389,-90.59139,10/16/2018,7/1/1996,"DAVENPORT MUNICIPAL AIRPORT, IA US",2.567836929,15,-90.15054192,41.19727798,0.606558002,Bishop Hill I
0.9999,198.1,METERS,GHCND_USW00014842,40.6675,-89.6839,10/16/2018,5/4/1943,"PEORIA INTERNATIONAL AIRPORT, IL US",2.567836929,15,-90.15054192,41.19727798,0.705988232,Bishop Hill I
0.9989,201.2,METERS,GHCND_USW00014845,43.53306,-84.07972,10/16/2018,1898-01-01,"SAGINAW MBS INTERNATIONAL AIRPORT, MI US",2.139864108,14,-83.48464818,43.60188881,0.599039129,Cross Winds Energy Park
0.9098,178.6,METERS,GHCND_USC00202423,44.2838,-83.5036,10/17/2018,1890-04-01,"EAST TAWAS, MI US",2.139864108,14,-83.48464818,43.60188881,0.682174499,Cross Winds Energy Park
1,234.7,METERS,GHCND_USW00014826,42.9666,-83.7494,10/16/2018,5/2/1948,"FLINT BISHOP INTERNATIONAL AIRPORT, MI US",2.139864108,14,-83.48464818,43.60188881,0.688248062,Cross Winds Energy Park
0.988,519.1,METERS,GHCND_USW00094943,43.76667,-99.31833,6/30/2014,2/1/1998,"CHAMBERLAIN MUNICIPAL AIRPORT, SD US",2.567836929,15,-98.78290542,43.89919323,0.551581263,Crow Lake (2011)
0.8893,445.3,METERS,GHCND_USC00394766,44.0644,-99.4602,10/2/2018,2/1/1972,"LAKE SHARPE PROJECT, SD US",2.567836929,15,-98.78290542,43.89919323,0.697152226,Crow Lake (2011)
0.9998,390.1,METERS,GHCND_USW00014936,44.3981,-98.2231,10/16/2018,1881-07-01,"HURON REGIONAL AIRPORT, SD US",2.567836929,15,-98.78290542,43.89919323,0.749860033,Crow Lake (2011)
0.9788,515.1,METERS,GHCND_USC00256396,42.3691,-97.5983,7/31/2013,9/1/2008,"OSMOND NUMBER 1, NE US",3.081404315,16,-97.98059155,41.99499585,0.534883861,Prairie Breeze III
1,472.7,METERS,GHCND_USW00014941,41.9855,-97.4352,10/16/2018,10/1/1945,"NORFOLK KARL STEFAN MEMORIAL AIRPORT, NE US",3.081404315,16,-97.98059155,41.99499585,0.54547421,Prairie Breeze III
0.9084,502.9,METERS,GHCND_USC00253075,41.3594,-97.9761,11/30/2013,3/1/1901,"FULLERTON, NE US",3.081404315,16,-97.98059155,41.99499585,0.63561172,Prairie Breeze III
0.9492,1098.5,METERS,GHCND_USW00023047,35.2295,-101.7042,10/16/2018,3/1/1943,"AMARILLO AIRPORT, TX US",3.081404315,16,-102.2568892,34.76593296,0.721359677,Hereford 1
0.9862,1351.8,METERS,GHCND_USC00291963,34.5988,-103.2161,10/17/2018,6/21/1949,"CLOVIS 13 N, NM US",3.081404315,16,-102.2568892,34.76593296,0.973662538,Hereford 1
0.5731,989.1,METERS,GHCND_USC00415410,33.6897,-101.8219,10/17/2018,3/1/1911,"LUBBOCK 9 N, TX US",3.081404315,16,-102.2568892,34.76593296,1.160815661,Hereford 1
0.7781,700.1,METERS,GHCND_USC00418566,33.47917,-100.87611,10/16/2018,5/1/1911,"SPUR, TX US",3.081404315,16,-101.1562051,34.02629313,0.614651917,Old Settler Wind
0.5731,989.1,METERS,GHCND_USC00415410,33.6897,-101.8219,10/17/2018,3/1/1911,"LUBBOCK 9 N, TX US",3.081404315,16,-101.1562051,34.02629313,0.74595217,Old Settler Wind
0.981,991.8,METERS,GHCND_USW00023042,33.6656,-101.8231,10/16/2018,8/10/1945,"LUBBOCK INTERNATIONAL AIRPORT, TX US",3.081404315,16,-101.1562051,34.02629313,0.75818754,Old Settler Wind
0.6632,598,METERS,GHCND_USC00327585,47.4914,-101.3775,10/9/2018,9/1/1948,"RIVERDALE, ND US",1.486016741,12,-101.2101989,47.16117025,0.370190956,Oliver II
0.9915,533.4,METERS,GHCND_USC00325479,46.8127,-100.9097,9/4/2018,7/16/1913,"MANDAN EXPERIMENT STATION, ND US",1.486016741,12,-101.2101989,47.16117025,0.460142486,Oliver II
0.9203,577,METERS,GHCND_USC00328840,47.5213,-100.8883,10/7/2018,9/1/1912,"TURTLE LAKE, ND US",1.486016741,12,-101.2101989,47.16117025,0.483024164,Oliver II
0.9098,178.6,METERS,GHCND_USC00202423,44.2838,-83.5036,10/17/2018,1890-04-01,"EAST TAWAS, MI US",2.567836929,15,-83.30756461,43.73144705,0.586108914,Brookfield Wind Park
0.9637,179.8,METERS,GHCND_USW00094898,44.02194,-82.79306,10/15/2018,6/24/1999,"PORT HOPE, MI US",2.567836929,15,-83.30756461,43.73144705,0.590847827,Brookfield Wind Park
0.8035,256.6,METERS,GHCND_USC00203527,44.3127,-83.8272,9/30/2009,2/1/2002,"HALE 5 SSW, MI US",2.567836929,15,-83.30756461,43.73144705,0.779663987,Brookfield Wind Park
0.996,951.9,METERS,GHCND_USW00003030,36.68167,-101.50528,10/16/2018,12/1/1998,"GUYMON MUNICIPAL AIRPORT, OK US",3.697685178,17,-101.0302855,36.4218052,0.541432822,Palo Duro
0.8825,999.1,METERS,GHCND_USC00343628,36.5913,-101.618,10/14/2018,2/15/1910,"GOODWELL RESEARCH STATION, OK US",3.697685178,17,-101.0302855,36.4218052,0.611667257,Palo Duro
0.9936,930.9,METERS,GHCND_USW00003024,35.695,-101.395,10/16/2018,6/1/1997,"BORGER HUTCHINSON CO AIRPORT, TX US",3.697685178,17,-101.0302855,36.4218052,0.813180465,Palo Duro
1,180.4,METERS,GHCND_USW00014923,41.46528,-90.52333,10/16/2018,5/24/1943,"MOLINE QUAD CITY INTERNATIONAL AIRPORT, IL US",2.567836929,15,-90.14768796,41.2341649,0.441045498,Bishop Hill II
0.9944,228.6,METERS,GHCND_USW00094982,41.61389,-90.59139,10/16/2018,7/1/1996,"DAVENPORT MUNICIPAL AIRPORT, IA US",2.567836929,15,-90.14768796,41.2341649,0.584005695,Bishop Hill II
0.9999,198.1,METERS,GHCND_USW00014842,40.6675,-89.6839,10/16/2018,5/4/1943,"PEORIA INTERNATIONAL AIRPORT, IL US",2.567836929,15,-90.14768796,41.2341649,0.732262508,Bishop Hill II
